index,seed,mae,mae2,mse,rmse,Test Accuracy,AR,Precision,Recall,F1_score
ABIRLANUVO,9,26.62986996299342,0.018165562416302003,1345.9487608728778,36.687174337537606,52.632,30.6,0.5315315315315315,0.6704545454545454,0.592964824120603
ACC,5,17.52471598662664,0.011044067073418241,619.8098905557471,24.895981413789396,57.205,20.5,0.4732142857142857,0.5760869565217391,0.5196078431372549
ADANIENT,10,6.426138318990517,0.04057011756926578,71.16915210927264,8.436181133028892,53.275,16.86,0.5740740740740741,0.7099236641221374,0.6348122866894197
ADANIPORTS,2,4.990048977381277,0.012629056301097022,43.74981530287901,6.614364315856741,52.838,-2.38,0.5118110236220472,0.5855855855855856,0.546218487394958
ADANIPOWER,6,0.7725189800345742,0.02633757334900289,1.0426862518037041,1.0211200966603802,48.472,-9.37,0.46808510638297873,0.6055045871559633,0.5280000000000001
AJANTPHARM,8,21.449461898803712,0.017443625883841924,775.0295018280458,27.83935167758125,56.25,-0.75,0.5,0.6857142857142857,0.5783132530120482
ALBK,9,1.1669271943871116,0.020588020332877384,3.2616321726549047,1.8059989403803383,52.402,-7.69,0.49390243902439024,0.7570093457943925,0.5977859778597786
AMARAJABAT,7,12.122987518310548,0.014937778467774,260.162439238282,16.12955173705339,54.375,-9.55,0.5238095238095238,0.7051282051282052,0.6010928961748634
AMBUJACEM,7,3.1827013040734156,0.013044604863776508,17.945423066964594,4.236203850969001,51.965,1.82,0.4782608695652174,0.5238095238095238,0.5
ANDHRABANK,4,1.8218176429448687,0.039350525628003535,5.70502649088809,2.388519727967113,47.598,-27.52,0.425414364640884,0.8279569892473119,0.5620437956204379
APOLLOHOSP,2,28.113231568981984,0.02599168575676829,9214.47857794027,95.99207559970911,51.528,-11.36,0.4691358024691358,0.7524752475247525,0.5779467680608364
APOLLOTYRE,10,4.043449315233523,0.015232432907265106,27.48395509092752,5.242514195586648,51.528,21.98,0.5058823529411764,0.38392857142857145,0.43654822335025384
ARVIND,3,7.784924103182997,0.018821585276637885,105.71606808787804,10.28183194221137,56.769,10.61,0.5471698113207547,0.5321100917431193,0.5395348837209303
ASHOKLEY,6,2.28797689379563,0.017242859732155585,10.709426372337479,3.272525992614494,50.655,17.43,0.53125,0.42857142857142855,0.47441860465116276
ASIANPAINT,6,13.148422787595528,0.010760952708311967,813.805764412271,28.527281055373486,60.699,5.15,0.5689655172413793,0.6226415094339622,0.5945945945945946
AUROPHARMA,7,9.540709702937365,0.01486911072073512,142.05920771479546,11.918859329432303,50.655,-6.15,0.4861111111111111,0.6422018348623854,0.5533596837944664
AXISBANK,8,7.793349033672217,0.014331232072365651,174.0395598109174,13.192405383815244,53.712,-20.1,0.5405405405405406,0.5217391304347826,0.5309734513274337
BAJAJ-AUTO,3,32.70511607873908,0.010865305006250528,2251.433550260494,47.44927344291474,51.965,-13.28,0.4838709677419355,0.4205607476635514,0.45000000000000007
BAJFINANCE,2,28.9404202270508,0.013803124516296634,1546.0997634291214,39.320475117031854,52.5,54.53,0.5757575757575758,0.6263736263736264,0.6000000000000001
BANKBARODA,1,3.1563952516780676,0.02128262996657438,25.902907875427015,5.089489942560749,49.345,-30.84,0.48214285714285715,0.7363636363636363,0.5827338129496403
BANKINDIA,1,2.9818103773625135,0.023094600081375448,24.457196679587703,4.945421789856524,52.838,-33.01,0.49673202614379086,0.7102803738317757,0.5846153846153845
BATAINDIA,10,13.52077700685726,0.01711589627818484,433.5364095510834,20.821537156297644,50.655,28.05,0.504950495049505,0.4473684210526316,0.4744186046511628
BEL,1,2.469188451766967,0.01860519497997187,9.791240565151716,3.1290958063235643,48.75,-27.22,0.4205607476635514,0.6923076923076923,0.5232558139534884
BHARATFORG,7,14.192443314598117,0.020493662984462785,372.5096149240683,19.300508151965023,49.345,-0.83,0.49032258064516127,0.672566371681416,0.5671641791044776
BHARTIARTL,4,9.631790867434843,0.022563036658412253,182.4596635936983,13.507763086229279,53.275,28.2,0.48514851485148514,0.47115384615384615,0.47804878048780486
BHEL,2,1.4490078988554176,0.016945253884955387,4.109976686779898,2.027307743481462,49.345,-2.65,0.48507462686567165,0.5803571428571429,0.5284552845528455
BIOCON,4,12.722451022618724,0.022741450097607856,318.39395124022224,17.84359692551427,57.642,5.75,0.6153846153846154,0.4745762711864407,0.5358851674641149
BOSCHLTD,2,551.3067314189187,0.029106532584610857,20715983.100548975,4551.481418236152,48.649,-3.21,0.45454545454545453,0.8641975308641975,0.5957446808510639
BPCL,1,6.0976071553459334,0.013769630222578065,67.92792268355927,8.241839763278541,49.345,11.31,0.4896551724137931,0.6283185840707964,0.5503875968992248
BRITANNIA,2,49.29511352539063,0.008834695527661316,3842.2092700855765,61.98555694745008,58.75,16.76,0.6451612903225806,0.6451612903225806,0.6451612903225806
CAIRN,6,5.971569994813908,0.02347212096535269,58.408289855983845,7.642531639187622,53.416,14.83,0.5892857142857143,0.38823529411764707,0.46808510638297873
CANBK,4,9.700131398829827,0.03185515572908973,256.74768315102915,16.023348063093092,49.782,5.92,0.4788732394366197,0.6238532110091743,0.5418326693227091
CASTROLIND,9,2.5590978622436524,0.014121278811096987,11.065780014916552,3.3265267194051744,50.625,0.44,0.45794392523364486,0.7,0.5536723163841808
CEATLTD,7,24.15048141479492,0.01613146811955746,1315.7312802097463,36.27301035494223,51.25,0.77,0.449438202247191,0.5797101449275363,0.5063291139240506
CENTURYTEX,10,20.44609390991743,0.017551930096647086,726.7531261056394,26.958359113745022,53.712,16.28,0.5253164556962026,0.7280701754385965,0.6102941176470589
CESC,4,18.05976381260235,0.01797795235344286,604.9748230536937,24.596235952960235,56.332,20.64,0.5420560747663551,0.5321100917431193,0.5370370370370371
CIPLA,1,6.926075338172081,0.011567005413796547,94.03289679511867,9.697056089098313,55.459,-12.07,0.5145631067961165,0.5047619047619047,0.5096153846153846
COALINDIA,5,3.4658369972195686,0.012394661758264685,22.60431544203101,4.754399587963869,53.275,7.95,0.5342465753424658,0.6666666666666666,0.5931558935361216
COLPAL,6,9.896663695756008,0.008902293105705643,177.92084086598794,13.338697120258333,54.585,1.58,0.5841584158415841,0.48760330578512395,0.5315315315315314
DABUR,7,3.6331720210579297,0.010020231957600094,30.11306102340449,5.487536881279659,60.262,30.98,0.6363636363636364,0.48695652173913045,0.5517241379310345
DHFL,10,13.276144523620607,0.0223567512439533,317.39266260297893,17.815517466606995,60.0,-1.17,0.5445544554455446,0.7534246575342466,0.6321839080459771
DISHTV,5,1.1704332310039405,0.015763225104311322,2.690421082589472,1.6402503109554565,52.402,-24.59,0.49700598802395207,0.7685185185185185,0.6036363636363636
DIVISLAB,10,16.146089858675623,0.014999207243668483,509.8678188104902,22.580252850898066,55.022,19.36,0.5409836065573771,0.584070796460177,0.5617021276595745
DLF,4,4.790745257914845,0.02246019676434188,39.772846954231944,6.306571727510276,53.712,42.99,0.618421052631579,0.3790322580645161,0.47000000000000003
DRREDDY,9,30.047964570824234,0.013400283404133222,1631.5536879362294,40.39249544081461,53.275,-13.29,0.5253164556962026,0.7217391304347827,0.6080586080586081
EICHERMOT,2,333.19955328525657,0.011513435831288055,184825.26568326133,429.91309084890787,58.974,-2.91,0.5686274509803921,0.6170212765957447,0.5918367346938775
ENGINERSIN,7,2.9998694342535894,0.019408210741667712,16.127840514058647,4.015948270839485,54.054,-17.47,0.48623853211009177,0.6463414634146342,0.5549738219895288
EXIDEIND,7,2.6948248051139463,0.011466359474449713,13.294686074756553,3.646187882536575,57.205,31.19,0.5728155339805825,0.5221238938053098,0.5462962962962964
FEDERALBNK,5,1.5114785273522793,0.015446135226805241,5.012364783843384,2.238831119991721,55.459,-24.5,0.49230769230769234,0.64,0.5565217391304347
GAIL,3,5.733785544316318,0.016461543250122383,58.97324005803032,7.67940362645631,55.022,-1.82,0.5825242718446602,0.5,0.5381165919282511
